slope_decade,p,measure,threshold,weighting,seasons
1.3641025641025548,0.7524933280395297,Opens,32,gap_weighted,26
0.4752136752136627,0.803429192509036,Closes,32,gap_weighted,26
-0.8888888888888801,0.8550468552372654,Length,32,gap_weighted,26
1.784615384615353,0.7280371485319175,Opens,33,gap_weighted,26
0.17435897435898384,0.9232129805416471,Closes,33,gap_weighted,26
-1.6102564102564052,0.7828249981893096,Length,33,gap_weighted,26
1.7664531699618857,0.7546221294131211,Opens,34,gap_weighted,24
-0.07333147684027067,0.9548078133764748,Closes,34,gap_weighted,24
-1.8397846468021677,0.7682829004781064,Length,34,gap_weighted,24
2.272347535505405,0.6892655722365784,Opens,35,gap_weighted,24
0.05383829945230313,0.9658449056604396,Closes,35,gap_weighted,24
-2.2185092360530856,0.7225941555300681,Length,35,gap_weighted,24
-1.4796055408458653,0.7816810969640904,Opens,36,gap_weighted,22
-0.8606730363377681,0.49189250697755693,Closes,36,gap_weighted,22
0.61893250450814,0.9194309548077204,Length,36,gap_weighted,22
